date,aqi_level,
3/28/2022,1.5,
3/29/2022,1.416666667,
3/30/2022,1.875,
3/31/2022,1.708333333,
4/1/2022,1.875,
4/2/2022,2.666666667,
4/3/2022,2.375,
4/4/2022,2,
4/5/2022,2.208333333,
4/6/2022,2.208333333,
4/7/2022,3,
4/8/2022,4.291666667,
4/9/2022,3.25,
4/10/2022,4.166666667,
4/11/2022,3.041666667,
4/12/2022,4.458333333,
4/13/2022,3.333333333,
4/14/2022,3.791666667,
4/15/2022,4.083333333,
4/16/2022,3.541666667,
4/17/2022,3.625,
4/18/2022,2.875,
4/19/2022,2.791666667,
4/20/2022,3.458333333,
4/21/2022,3.25,
4/22/2022,2.625,
4/23/2022,2.666666667,
4/24/2022,2.333333333,
4/25/2022,2.291666667,
4/26/2022,2.041666667,
4/27/2022,1.541666667,
4/28/2022,1.833333333,
4/29/2022,2.083333333,
4/30/2022,1.625,
5/1/2022,2.291666667,
5/2/2022,3.291666667,
5/3/2022,3.041666667,
5/4/2022,3.458333333,
5/5/2022,2.916666667,
5/6/2022,2.291666667,
5/7/2022,1.666666667,
